name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sao Paulo,Brazil",2015-01-01,31.4,23.4,26.8,31.7,23.4,27,17.6,58.2,0,0,0,,,,42.5,22.3,325.9,1015.6,65.4,10.5,210.2,18.1,7,,2015-01-01T06:23:23,2015-01-01T19:56:45,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-01-02,32.6,23.5,26.9,33.1,23.5,27.1,18.2,60.4,3,100,4.17,rain,,,59.7,31.8,316,1015.6,75.4,10,177.9,15.4,6,,2015-01-02T06:24:02,2015-01-02T19:57:01,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-01-03,28.2,22,23.9,30.4,22,24.2,20,79.3,0,0,0,,,,,21,144.8,1018,90.7,9.8,144.9,12.5,5,,2015-01-03T06:24:42,2015-01-03T19:57:17,0.44,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-01-04,27.6,21.5,23.3,28.3,21.5,23.4,18.3,73.9,2,100,4.17,rain,,,40.7,18.5,213.4,1019.2,82.3,10,175.3,15,6,,2015-01-04T06:25:22,2015-01-04T19:57:31,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-01-05,27.5,21,22.8,28.3,21,22.9,18.6,77.9,2,100,4.17,rain,,,40.7,16.8,107.3,1019.4,69,9.5,211.4,18.3,8,,2015-01-05T06:26:03,2015-01-05T19:57:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-01-06,29.3,19.9,23.8,29.5,19.9,24,17.6,69.3,0,0,0,,,,,19.8,63.2,1020.2,61.7,10,298.8,25.7,10,,2015-01-06T06:26:44,2015-01-06T19:57:55,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-01-07,31.8,20,24.5,31.5,20,24.5,17.2,66.1,19,100,4.17,rain,,,57.6,25.9,24.7,1018.4,63.8,9.5,295.9,25.5,10,,2015-01-07T06:27:25,2015-01-07T19:58:05,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-01-08,32,19.3,24.3,32.4,19.3,24.4,17.5,68.8,0,0,0,,,,,17.4,320,1018.3,56.2,10.2,341.5,29.5,10,,2015-01-08T06:28:07,2015-01-08T19:58:14,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-01-09,33,20.8,27.2,34,20.8,27.7,18.4,61.7,28,100,4.17,rain,,,,17.4,298.4,1017.3,29.7,10.1,331.6,28.7,10,,2015-01-09T06:28:50,2015-01-09T19:58:21,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-01-10,33.2,23.6,27.7,33.5,23.6,28.3,18.9,60.9,1,100,4.17,rain,,,38.9,20.2,263.9,1017.6,43.3,10.4,324.8,28.2,10,,2015-01-10T06:29:32,2015-01-10T19:58:27,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-01-11,34,22.3,26.8,34.7,22.3,27.1,19.1,64.7,8,100,4.17,rain,,,37.1,19.9,71,1017.7,55,9.2,332.9,28.6,10,,2015-01-11T06:30:15,2015-01-11T19:58:31,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,remote,83780099999"
